Features, fov, x, y,C1P1,C1P2,C1P3,C1P4,C2P1,C2P2,C2P3,C2P4,C3P1,C3P2,C3P3,C3P4,C4P1,C4P2,C4P3,C4P4,C5P1,C5P2,C5P3,C5P4,C6P1,C6P2,C6P3,C6P4,C7P1,C7P2,C7P3,C7P4,C8P1,C8P2,C8P3,C8P4,C9P1,C9P2,C9P3,C9P4,C10P1,C10P2,C10P3,C10P4,C11P1,C11P2,C11P3,C11P4,C12P1,C12P2,C12P3,C12P4,C13P1,C13P2,C13P3,C13P4,C14P1,C14P2,C14P3,C14P4,C15P1,C15P2,C15P3,C15P4,C16P1,C16P2,C16P3,C16P4,C17P1,C17P2,C17P3,C17P4,C18P1,C18P2,C18P3,C18P4,C19P1,C19P2,C19P3,C19P4,C20P1,C20P2,C20P3,C20P4,C21P1,C21P2,C21P3,C21P4,C22P1,C22P2,C22P3,C22P4,C23P1,C23P2,C23P3,C23P4,C24P1,C24P2,C24P3,C24P4,C25P1,C25P2,C25P3,C25P4,C26P1,C26P2,C26P3,C26P4,C27P1,C27P2,C27P3,C27P4,C28P1,C28P2,C28P3,C28P4,C29P1,C29P2,C29P3,C29P4,C30P1,C30P2,C30P3,C30P4,C31P1,C31P2,C31P3,C31P4,C32P1,C32P2,C32P3,C32P4,C33P1,C33P2,C33P3,C33P4,C34P1,C34P2,C34P3,C34P4,C35P1,C35P2,C35P3,C35P4,C36P1,C36P2,C36P3,C36P4,C37P1,C37P2,C37P3,C37P4,C38P1,C38P2,C38P3,C38P4,C39P1,C39P2,C39P3,C39P4,C40P1,C40P2,C40P3,C40P4,Unnamed: 164
3,1,15,295,121213,0,120000,0,0,0,0,114400,0,0,0,0,0,0,0,0,0,0,0,0,130000,0,0,0,0,4413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222200,0,224423,0,222212,0,224423,224423,0,0,220000,0,222212,0,132324,0,0,0,0,330000,0,0,0,0,0,0,0,0,241300,0,230000,0,0,0,0,334413,0,0,132324,0,0,0,224423,0,0,0,220000,0,222400,0,0,0,0,0,0,0,0,0,132324,334423,332214,0,24,241422,0,0,0,334413,0,0,224423,0,0,0,0,0,0,0,132324,230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,1,15,774,0,110000,131300,0,221322,0,122300,0,0,0,0,0,0,0,221200,0,0,0,0,0,0,341411,221200,0,0,0,0,342411,0,0,0,0,0,0,120014,0,1313,0,0,0,0,112322,0,0,443334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341114,0,120000,0,0,0,122300,122300,0,0,2334,0,0,0,0,230000,0,0,0,0,0,0,0,0,2333,0,0,0,0,0,0,0,0,0,122314,342400,340014,0,0,0,0,0,3334,0,443334,0,112300,0,3413,0,221200,0,0,0,120014,0,0,0,0,342411,0,0,122314,0,0,241111,0,0,0,0,221211,0,0,0,0,0,0,0,0,0,0,0,122314,0,0,0,0,0,0,113324,0,0,0,0,0,0,0,0,0,0,
12,1,15,1045,0,0,0,0,0,444400,0,0,0,0,131111,0,441300,442200,0,241200,2300,0,0,0,0,240034,0,0,0,0,142400,0,0,0,0,0,0,0,0,0,0,0,331100,0,0,442200,0,0,0,242400,0,123333,0,0,131122,0,0,0,0,113300,341100,0,440000,0,0,0,0,0,0,0,0,130000,0,0,344400,0,0,132400,0,0,0,0,0,0,0,0,0,0,440000,442200,0,0,0,224400,0,0,0,0,0,0,0,0,223300,0,243444,0,0,0,0,0,242312,0,243400,0,0,0,443300,0,130000,122423,0,0,0,0,0,0,0,0,0,0,112411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,1,16,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220000,0,0,0,0,0,0,0,332434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2314,221312,0,0,0,0,0,0,110034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1413,0,0,0,0,0,111444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,
18,1,16,360,0,0,0,0,0,0,0,0,0,0,233423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242233,0,0,0,0,0,0,0,0,0,0,0,
